"date","weighted","close","high","low","open","volume"
"2021-03-14 15:03:00","60057.25","60215.76","60318.42","59770.17","60069.59","68352954.24"
"2021-03-14 16:03:00","59814.22","58998.89","60737.71","58980.95","60215.76","271324486.99"
"2021-03-14 17:03:00","59445.07","59473.95","59918.12","58732.15","58998.89","271169374.02"
"2021-03-14 18:03:00","59775.91","60030.89","60231.14","59267.01","59473.95","121771899.71"
"2021-03-14 19:03:00","60167.66","60039.65","60285.63","60003.68","60030.89","77890048.78"
"2021-03-14 20:03:00","60247.27","60354.44","60459.67","60036.08","60039.65","72537715.1"
"2021-03-14 21:03:00","60106.86","59746.29","60589.17","59640.95","60354.44","103765472.3"
"2021-03-14 22:03:00","59447.58","59015.4","59888.5","59015.38","59746.29","118815497.81"
"2021-03-14 23:03:00","58817.58","58755.01","59340.15","58451.63","59015.4","203061234.39"
"2021-03-14 24:03:00","57960.24","57858.88","58767.92","57334.88","58755.01","364476624.79"
"2021-03-15 01:03:00","57988.02","57788.68","58369.74","57550.62","57858.88","165278044.24"
"2021-03-15 02:03:00","56118.16","55855.28","58074.27","54857.68","57788.68","714730931.63"
"2021-03-15 03:03:00","56076.41","56388.85","56425.63","55544.96","55855.28","254339054.96"
"2021-03-15 04:03:00","56265.77","56181.74","56608.69","55882.21","56388.85","211423681.28"
"2021-03-15 05:03:00","55789.38","56471.23","56494.48","55156.62","56181.74","281811106.04"
"2021-03-15 06:03:00","56820.27","56913.92","57071.79","56316.34","56471.23","205842809.64"
"2021-03-15 07:03:00","56930.44","56250.49","57314.87","56250.49","56913.92","169419857.66"
"2021-03-15 08:03:00","56338.08","56229.94","56817.4","55927.87","56250.49","139629423.93"
"2021-03-15 09:03:00","56279.57","56321.98","56694.56","55733.16","56229.94","127875625.36"
"2021-03-15 10:03:00","55927.82","56065.82","56359.79","55522.36","56321.98","123112231.02"
"2021-03-15 11:03:00","56138.13","56176.71","56422.04","55866.32","56065.82","74233137"
"2021-03-15 12:03:00","56467.56","56641.56","56688.63","56162.95","56176.71","67563998.59"
"2021-03-15 13:03:00","56642.53","56432.34","56962.67","56261.13","56641.56","96082162.57"
"2021-03-15 14:03:00","56685.39","56775.91","56959.32","56409.78","56432.34","74634256.04"
"2021-03-15 15:03:00","56383.6","56160.99","56947.78","56021.34","56775.91","119096819.9"
"2021-03-15 16:03:00","56143.09","55665.01","56691.63","55604.14","56160.99","138821082.17"
"2021-03-15 17:03:00","54896.47","54083.52","56076.78","53987.38","55665.01","381348757.2"
"2021-03-15 18:03:00","53831.67","54520.56","54600.96","53269.13","54083.52","456829043.43"
"2021-03-15 19:03:00","54447.04","54589","54683.46","54173.07","54520.56","108608237.62"
"2021-03-15 20:03:00","54113.32","54242.08","54655.79","53837.72","54589","227907432.98"
"2021-03-15 21:03:00","54547.64","54406.56","54821.35","54178.46","54242.08","96984066.9"
"2021-03-15 22:03:00","53904.82","54034.58","54444.93","53580.89","54406.56","186796372.06"
"2021-03-15 23:03:00","54517.26","55029.15","55284.55","53620.94","54034.58","161286593.48"
"2021-03-15 24:03:00","55179.75","55223.57","55463.14","54820.43","55029.15","144794431.7"
"2021-03-16 01:03:00","55815.01","55898.14","56127.99","55151.27","55223.57","134003460.85"
"2021-03-16 02:03:00","55992.94","55880.39","56407.15","55714.8","55898.14","99597433.45"
"2021-03-16 03:03:00","55816.68","55814.17","56129.18","55430.8","55880.39","130221423.25"
"2021-03-16 04:03:00","55413.43","55411.82","55875.7","55069.9","55814.17","142154840.32"
"2021-03-16 05:03:00","55018.52","55071.65","55559.27","54615.61","55411.82","146650222.81"
"2021-03-16 06:03:00","55406.83","55296.13","55874.3","55013.12","55071.65","121697774.15"
"2021-03-16 07:03:00","55462.8","55649.27","55711.03","55214.73","55296.13","98052127.69"
"2021-03-16 08:03:00","55703.3","55849.44","55931.65","55439.43","55649.27","102214996.83"
"2021-03-16 09:03:00","55755.38","55664.4","56083.58","55448.8","55849.44","96674814.68"
"2021-03-16 10:03:00","55357.17","55251.09","55832.6","54967.35","55664.4","97395397.65"
"2021-03-16 11:03:00","55370.09","55334.17","55634.46","55117.8","55251.09","58810230.99"
"2021-03-16 12:03:00","55581.97","55764.71","55815.76","55166.01","55334.17","54515908.49"
"2021-03-16 13:03:00","56185.94","56383.44","56440.26","55704.2","55764.71","121185758.32"
"2021-03-16 14:03:00","56412.83","56480.63","56594.49","56117.76","56383.44","85170957.42"
"2021-03-16 15:03:00","56604.05","56286.98","56824.09","56284.6","56480.63","110871494.02"
"2021-03-16 16:03:00","56456.34","56925.01","56936.04","56113.46","56286.98","77424223.1"
"2021-03-16 17:03:00","56766.69","56554.55","57164.33","56310.91","56925.01","147618926.15"
"2021-03-16 18:03:00","56324.42","56288.09","56558.16","56094.6","56554.55","76566292.54"
"2021-03-16 19:03:00","55935.4","55823.07","56290.94","55644.82","56288.09","87252513.61"
"2021-03-16 20:03:00","55847.18","55514.7","56166.05","55426.68","55823.07","74850857.11"
"2021-03-16 21:03:00","55660.55","55592.27","55859.71","55443.03","55514.7","52401624.4"
"2021-03-16 22:03:00","55552.27","55986.39","55994.69","55225.39","55592.27","62679067.78"
"2021-03-16 23:03:00","56143.58","56294.01","56341.1","55879.61","55986.39","52998416.69"
"2021-03-16 24:03:00","56024.58","55838.77","56325.16","55722.98","56294.01","79268613.39"
"2021-03-17 01:03:00","55806.47","55786.89","56055.54","55662.12","55838.77","67483973.83"
"2021-03-17 02:03:00","55065.47","54808.69","55863.09","54485.6","55786.89","196669066.08"
"2021-03-17 03:03:00","54989.32","55062.53","55234","54643.46","54808.69","109789475.63"
"2021-03-17 04:03:00","54889.81","54812.37","55190.81","54595.37","55062.53","87171048.94"
"2021-03-17 05:03:00","54687.46","55168.85","55389.32","54156.11","54812.37","210695474.05"
"2021-03-17 06:03:00","55021.99","55130.18","55404.92","54719.8","55168.85","140483234.53"
"2021-03-17 07:03:00","54853.34","54580.22","55152.57","54580.22","55130.18","136573834.99"
"2021-03-17 08:03:00","54941.48","54968.73","55239.18","54337.95","54580.22","247178424.14"
"2021-03-17 09:03:00","55305.36","55305.25","55609.93","54791.07","54968.73","142836608.37"
"2021-03-17 10:03:00","55424.28","55550.51","55651.18","55202.26","55305.25","95652330.84"
"2021-03-17 11:03:00","56788.92","57614","57615.17","55550.51","55550.51","394140641.12"
"2021-03-17 12:03:00","57829.67","57880.25","58232.92","57409.5","57614","421873235.95"
"2021-03-17 13:03:00","58007.92","57734.73","58294.73","57727.85","57880.25","179052475.86"
"2021-03-17 14:03:00","58201.95","58439.62","58689.25","57612.41","57734.73","150059767.72"
"2021-03-17 15:03:00","58660.16","58332.33","58975.28","58285.96","58439.62","171010213.59"
"2021-03-17 16:03:00","58644.96","58909","58963.31","58286.23","58332.33","109237375.82"
"2021-03-17 17:03:00","59173.08","58934.3","59534.67","58742.22","58909","171175289.31"
"2021-03-17 18:03:00","59063.93","59037.27","59330.8","58770.74","58934.3","85213895.42"
"2021-03-17 19:03:00","59140.36","59029.14","59298.01","58925.02","59037.27","72573499.65"
"2021-03-17 20:03:00","58786.41","58718.33","59035.86","58616.19","59029.14","99538917.32"
"2021-03-17 21:03:00","58878.22","58838.38","59200.55","58668.35","58718.33","90995698.2"
"2021-03-17 22:03:00","58947.85","58995.02","59181.85","58691.06","58838.38","89233487.3"
"2021-03-17 23:03:00","58891.38","58938.74","59090.64","58690.29","58995.02","63093866.13"
"2021-03-17 24:03:00","58496.2","58368.65","58950.56","58148","58938.74","107648208.08"
"2021-03-18 01:03:00","58231.49","58002.17","58513.36","57962.28","58368.65","69289652.93"
"2021-03-18 02:03:00","58262.84","58407.78","58480.5","57968.17","58002.17","63593307.15"
"2021-03-18 03:03:00","58457.02","58520.32","58630.76","58251.52","58407.78","59596344.41"
"2021-03-18 04:03:00","58152.83","58161.11","58537.88","57871.11","58520.32","101525528.6"
"2021-03-18 05:03:00","57816.55","58059.15","58165.06","57588.93","58161.11","128691536.39"
"2021-03-18 06:03:00","58022.15","57846.64","58191.67","57794.77","58091.14","121247143.83"
"2021-03-18 07:03:00","57763.99","57871.56","58036.37","57533.47","57846.64","141483647.74"
"2021-03-18 08:03:00","58823.68","59515.26","59613.75","57715.55","57871.56","285127180.35"
"2021-03-18 09:03:00","59663.72","59073.25","60077.79","59015.96","59515.26","380803661.7"
"2021-03-18 10:03:00","59304.49","59247.47","59438.32","59043.09","59073.25","176743988.43"
"2021-03-18 11:03:00","58592.11","58371.02","59294.09","58012.12","59247.47","176665761.56"
